orderid,noguest,tableno,intime,outtime,dine_type,payment,menu,sizeid,qty,price,cost,isrecommended,category,customer,gender,countryid,firstvisitdt
7,6,3,2002-01-03 11:39:00,2002-01-03 12:50:00,Eat in,Master Card,น้ำเปล่า,M,3,10,3.0,0,Beverage,Paul Hank,M,UK,2002-01-01 10:51:00
8,2,4,2002-01-03 11:41:00,2002-01-03 12:22:00,Eat in,Cash,ต้มยำกุ้ง (ใหญ่),L,2,200,80.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
8,2,4,2002-01-03 11:41:00,2002-01-03 12:22:00,Eat in,Cash,โค้ก-Diet,M,1,15,4.5,0,Beverage,Paul Hank,M,UK,2002-01-01 10:51:00
8,2,4,2002-01-03 11:41:00,2002-01-03 12:22:00,Eat in,Cash,น้ำเปล่า,M,1,10,3.0,0,Beverage,Paul Hank,M,UK,2002-01-01 10:51:00
9,6,3,2002-01-04 11:35:00,2002-01-04 13:25:00,Eat in,Master Card,ต้มยำกุ้ง (กลาง),M,1,100,40.0,1,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
9,6,3,2002-01-04 11:35:00,2002-01-04 13:25:00,Eat in,Master Card,ปลาราดพริก,L,2,400,160.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
9,6,3,2002-01-04 11:35:00,2002-01-04 13:25:00,Eat in,Master Card,ไก่ทอด,M,2,70,28.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
9,6,3,2002-01-04 11:35:00,2002-01-04 13:25:00,Eat in,Master Card,ทอดมันปลา,S,1,30,12.0,1,Appetizer,Paul Hank,M,UK,2002-01-01 10:51:00
9,6,3,2002-01-04 11:35:00,2002-01-04 13:25:00,Eat in,Master Card,น้ำเปล่า,M,2,10,3.0,0,Beverage,Paul Hank,M,UK,2002-01-01 10:51:00
9,6,3,2002-01-04 11:35:00,2002-01-04 13:25:00,Eat in,Master Card,ชุดอาหารเย็น,L,3,400,107.0,0,Menu Set,Paul Hank,M,UK,2002-01-01 10:51:00
10,4,4,2002-01-04 11:44:00,2002-01-04 12:23:00,Eat in,Cash,โค้ก-Diet,M,3,15,4.5,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
10,4,4,2002-01-04 11:44:00,2002-01-04 12:23:00,Eat in,Cash,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
10,4,4,2002-01-04 11:44:00,2002-01-04 12:23:00,Eat in,Cash,ไอศครีมกะทิ,S,3,15,5.25,0,Dessert,Any Female,F,TH,2002-01-01 11:35:00
11,2,5,2002-01-04 11:55:00,2002-01-04 13:05:00,Eat in,Visa Card,โค้ก-Diet,M,1,15,4.5,0,Beverage,Pete Johnson,M,US,2002-01-04 11:55:00
11,2,5,2002-01-04 11:55:00,2002-01-04 13:05:00,Eat in,Visa Card,ชุดอาหารเย็น,L,2,400,107.0,0,Menu Set,Pete Johnson,M,US,2002-01-04 11:55:00
12,3,7,2002-01-04 12:07:00,2002-01-04 12:48:00,Eat in,Cash,ไก่ทอด,M,1,70,28.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
12,3,7,2002-01-04 12:07:00,2002-01-04 12:48:00,Eat in,Cash,น้ำเปล่า,M,1,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
13,2,1,2002-01-04 12:17:00,2002-01-04 13:28:00,Eat in,Master Card,ต้มยำกุ้ง (กลาง),M,2,100,40.0,1,Dish,Pete Johnson,M,US,2002-01-04 11:55:00
13,2,1,2002-01-04 12:17:00,2002-01-04 13:28:00,Eat in,Master Card,ผัดผักรวม,L,1,80,32.0,0,Dish,Pete Johnson,M,US,2002-01-04 11:55:00
13,2,1,2002-01-04 12:17:00,2002-01-04 13:28:00,Eat in,Master Card,เทมปุระ,S,2,50,20.0,0,Appetizer,Pete Johnson,M,US,2002-01-04 11:55:00
13,2,1,2002-01-04 12:17:00,2002-01-04 13:28:00,Eat in,Master Card,โค้ก-Diet,M,2,15,4.5,0,Beverage,Pete Johnson,M,US,2002-01-04 11:55:00
14,2,2,2002-01-04 12:20:00,2002-01-04 14:05:00,Eat in,Master Card,ต้มยำกุ้ง (เล็ก),S,2,20,8.0,0,Dish,Pete Johnson,M,US,2002-01-04 11:55:00
14,2,2,2002-01-04 12:20:00,2002-01-04 14:05:00,Eat in,Master Card,หมูสะเต็ะ,S,2,50,20.0,0,Appetizer,Pete Johnson,M,US,2002-01-04 11:55:00
14,2,2,2002-01-04 12:20:00,2002-01-04 14:05:00,Eat in,Master Card,น้ำเปล่า,M,3,10,3.0,0,Beverage,Pete Johnson,M,US,2002-01-04 11:55:00
14,2,2,2002-01-04 12:20:00,2002-01-04 14:05:00,Eat in,Master Card,ชุดอาหารเที่ยง,S,1,100,31.25,0,Menu Set,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,2,100,40.0,1,Dish,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,แกงเขียวหวานไก่,M,2,60,24.0,1,Dish,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,ผัดผักรวม,L,3,80,32.0,0,Dish,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,ทอดมันปลา,S,2,30,12.0,1,Appetizer,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,เทมปุระ,S,2,50,20.0,0,Appetizer,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,หมูสะเต็ะ,S,1,50,20.0,0,Appetizer,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,น้ำเปล่า,M,1,10,3.0,0,Beverage,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,ไอศครีมกะทิ,S,2,15,5.25,0,Dessert,Pete Johnson,M,US,2002-01-04 11:55:00
15,3,3,2002-01-04 18:35:00,2002-01-04 20:09:00,Eat in,Cash,ชุดอาหารเที่ยง,S,2,100,31.25,0,Menu Set,Pete Johnson,M,US,2002-01-04 11:55:00
16,2,3,2002-01-04 18:37:00,2002-01-04 20:54:00,Eat in,Cash,เทมปุระ,S,2,50,20.0,0,Appetizer,Richard Hank,M,US,2002-01-04 18:37:00
16,2,3,2002-01-04 18:37:00,2002-01-04 20:54:00,Eat in,Cash,น้ำเปล่า,M,3,10,3.0,0,Beverage,Richard Hank,M,US,2002-01-04 18:37:00
17,4,5,2002-01-04 18:58:00,2002-01-04 19:51:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,2,100,40.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
17,4,5,2002-01-04 18:58:00,2002-01-04 19:51:00,Eat in,Cash,ปลาราดพริก,L,3,400,160.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
17,4,5,2002-01-04 18:58:00,2002-01-04 19:51:00,Eat in,Cash,เทมปุระ,S,2,50,20.0,0,Appetizer,Any Female,F,TH,2002-01-01 11:35:00
17,4,5,2002-01-04 18:58:00,2002-01-04 19:51:00,Eat in,Cash,หมูสะเต็ะ,S,3,50,20.0,0,Appetizer,Any Female,F,TH,2002-01-01 11:35:00
17,4,5,2002-01-04 18:58:00,2002-01-04 19:51:00,Eat in,Cash,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
18,4,5,2002-01-04 18:59:00,2002-01-04 19:31:00,Eat in,Check,ต้มยำกุ้ง (ใหญ่),L,2,200,80.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
18,4,5,2002-01-04 18:59:00,2002-01-04 19:31:00,Eat in,Check,แกงเขียวหวานไก่,M,3,60,24.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
18,4,5,2002-01-04 18:59:00,2002-01-04 19:31:00,Eat in,Check,ปลาราดพริก,L,3,400,160.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
18,4,5,2002-01-04 18:59:00,2002-01-04 19:31:00,Eat in,Check,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
18,4,5,2002-01-04 18:59:00,2002-01-04 19:31:00,Eat in,Check,ไอศครีมกะทิ,S,1,15,5.25,0,Dessert,Any Female,F,TH,2002-01-01 11:35:00
19,4,8,2002-01-04 19:08:00,2002-01-04 21:18:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,1,100,40.0,1,Dish,Pete Johnson,M,US,2002-01-04 11:55:00
19,4,8,2002-01-04 19:08:00,2002-01-04 21:18:00,Eat in,Cash,ทอดมันปลา,S,2,30,12.0,1,Appetizer,Pete Johnson,M,US,2002-01-04 11:55:00
19,4,8,2002-01-04 19:08:00,2002-01-04 21:18:00,Eat in,Cash,น้ำส้มคั้น,M,3,20,6.0,0,Beverage,Pete Johnson,M,US,2002-01-04 11:55:00
20,1,0,2002-01-04 19:13:00,2002-01-04 19:28:00,To go,American Express,ต้มยำกุ้ง (กลาง),M,1,100,40.0,1,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
20,1,0,2002-01-04 19:13:00,2002-01-04 19:28:00,To go,American Express,ทอดมันปลา,S,3,30,12.0,1,Appetizer,Paul Hank,M,UK,2002-01-01 10:51:00
20,1,0,2002-01-04 19:13:00,2002-01-04 19:28:00,To go,American Express,หมูสะเต็ะ,S,3,50,20.0,0,Appetizer,Paul Hank,M,UK,2002-01-01 10:51:00
20,1,0,2002-01-04 19:13:00,2002-01-04 19:28:00,To go,American Express,น้ำเปล่า,M,2,10,3.0,0,Beverage,Paul Hank,M,UK,2002-01-01 10:51:00
21,3,1,2002-01-04 19:13:00,2002-01-04 19:44:00,Eat in,Check,โค้ก,M,2,15,4.5,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
21,3,1,2002-01-04 19:13:00,2002-01-04 19:44:00,Eat in,Check,โค้ก-Diet,M,2,15,4.5,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
21,3,1,2002-01-04 19:13:00,2002-01-04 19:44:00,Eat in,Check,น้ำเปล่า,M,1,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
21,3,1,2002-01-04 19:13:00,2002-01-04 19:44:00,Eat in,Check,ชุดอาหารเย็น,L,3,400,107.0,0,Menu Set,Any Female,F,TH,2002-01-01 11:35:00
22,6,1,2002-01-04 19:19:00,2002-01-04 21:42:00,Eat in,Master Card,ต้มยำกุ้ง (กลาง),M,3,100,40.0,1,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
22,6,1,2002-01-04 19:19:00,2002-01-04 21:42:00,Eat in,Master Card,แกงเขียวหวานไก่,M,2,60,24.0,1,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
22,6,1,2002-01-04 19:19:00,2002-01-04 21:42:00,Eat in,Master Card,ปลาราดพริก,L,3,400,160.0,0,Dish,Paul Hank,M,UK,2002-01-01 10:51:00
22,6,1,2002-01-04 19:19:00,2002-01-04 21:42:00,Eat in,Master Card,ทอดมันปลา,S,2,30,12.0,1,Appetizer,Paul Hank,M,UK,2002-01-01 10:51:00
22,6,1,2002-01-04 19:19:00,2002-01-04 21:42:00,Eat in,Master Card,น้ำเปล่า,M,1,10,3.0,0,Beverage,Paul Hank,M,UK,2002-01-01 10:51:00
23,4,2,2002-01-04 19:22:00,2002-01-04 20:59:00,Eat in,Cash,โค้ก,M,3,15,4.5,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
23,4,2,2002-01-04 19:22:00,2002-01-04 20:59:00,Eat in,Cash,น้ำเปล่า,M,3,10,3.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
24,1,2,2002-01-04 19:29:00,2002-01-04 20:36:00,Eat in,Check,หมูสะเต็ะ,S,2,50,20.0,0,Appetizer,Any Male,M,TH,2002-01-04 19:22:00
24,1,2,2002-01-04 19:29:00,2002-01-04 20:36:00,Eat in,Check,น้ำส้มคั้น,M,2,20,6.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
24,1,2,2002-01-04 19:29:00,2002-01-04 20:36:00,Eat in,Check,น้ำเปล่า,M,3,10,3.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
24,1,2,2002-01-04 19:29:00,2002-01-04 20:36:00,Eat in,Check,ไอศครีมกะทิ,S,2,15,5.25,0,Dessert,Any Male,M,TH,2002-01-04 19:22:00
25,2,1,2002-01-04 20:11:00,2002-01-04 20:54:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,2,100,40.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
25,2,1,2002-01-04 20:11:00,2002-01-04 20:54:00,Eat in,Cash,โค้ก,M,1,15,4.5,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
25,2,1,2002-01-04 20:11:00,2002-01-04 20:54:00,Eat in,Cash,น้ำเปล่า,M,1,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
26,3,3,2002-01-05 10:35:00,2002-01-05 12:36:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,2,100,40.0,1,Dish,Any Male,M,TH,2002-01-04 19:22:00
26,3,3,2002-01-05 10:35:00,2002-01-05 12:36:00,Eat in,Cash,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
26,3,3,2002-01-05 10:35:00,2002-01-05 12:36:00,Eat in,Cash,ไอศครีมกะทิ,S,2,15,5.25,0,Dessert,Any Male,M,TH,2002-01-04 19:22:00
27,3,4,2002-01-05 10:47:00,2002-01-05 11:23:00,Eat in,Visa Card,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
27,3,4,2002-01-05 10:47:00,2002-01-05 11:23:00,Eat in,Visa Card,ชุดอาหารเย็น,L,1,400,107.0,0,Menu Set,Any Female,F,TH,2002-01-01 11:35:00
28,1,7,2002-01-05 11:07:00,2002-01-05 13:25:00,Eat in,Master Card,ไก่ทอด,M,3,70,28.0,0,Dish,Any Male,M,TH,2002-01-04 19:22:00
28,1,7,2002-01-05 11:07:00,2002-01-05 13:25:00,Eat in,Master Card,หมูสะเต็ะ,S,2,50,20.0,0,Appetizer,Any Male,M,TH,2002-01-04 19:22:00
28,1,7,2002-01-05 11:07:00,2002-01-05 13:25:00,Eat in,Master Card,โค้ก-Diet,M,2,15,4.5,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
28,1,7,2002-01-05 11:07:00,2002-01-05 13:25:00,Eat in,Master Card,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
29,3,1,2002-01-05 11:15:00,2002-01-05 13:27:00,Eat in,Cash,น้ำส้มคั้น,M,1,20,6.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
29,3,1,2002-01-05 11:15:00,2002-01-05 13:27:00,Eat in,Cash,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
30,1,2,2002-01-05 11:28:00,2002-01-05 13:16:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,3,100,40.0,1,Dish,Any Male,M,TH,2002-01-04 19:22:00
30,1,2,2002-01-05 11:28:00,2002-01-05 13:16:00,Eat in,Cash,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
31,2,2,2002-01-05 11:29:00,2002-01-05 13:52:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,3,100,40.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
31,2,2,2002-01-05 11:29:00,2002-01-05 13:52:00,Eat in,Cash,ทอดมันปลา,S,1,30,12.0,1,Appetizer,Any Female,F,TH,2002-01-01 11:35:00
31,2,2,2002-01-05 11:29:00,2002-01-05 13:52:00,Eat in,Cash,โค้ก,M,1,15,4.5,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
31,2,2,2002-01-05 11:29:00,2002-01-05 13:52:00,Eat in,Cash,ไอศครีมกะทิ,S,1,15,5.25,0,Dessert,Any Female,F,TH,2002-01-01 11:35:00
31,2,2,2002-01-05 11:29:00,2002-01-05 13:52:00,Eat in,Cash,ชุดอาหารเที่ยง,S,3,100,31.25,0,Menu Set,Any Female,F,TH,2002-01-01 11:35:00
32,3,4,2002-01-05 11:42:00,2002-01-05 12:18:00,Eat in,Master Card,โค้ก,M,2,15,4.5,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
32,3,4,2002-01-05 11:42:00,2002-01-05 12:18:00,Eat in,Master Card,ชุดอาหารเย็น,L,2,400,107.0,0,Menu Set,Any Male,M,TH,2002-01-04 19:22:00
33,3,1,2002-01-05 12:19:00,2002-01-05 14:32:00,Eat in,Visa Card,ต้มยำกุ้ง (กลาง),M,2,100,40.0,1,Dish,Any Male,M,TH,2002-01-04 19:22:00
33,3,1,2002-01-05 12:19:00,2002-01-05 14:32:00,Eat in,Visa Card,โค้ก-Diet,M,2,15,4.5,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
33,3,1,2002-01-05 12:19:00,2002-01-05 14:32:00,Eat in,Visa Card,น้ำเปล่า,M,1,10,3.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
34,2,1,2002-01-05 12:19:00,2002-01-05 13:26:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,3,100,40.0,1,Dish,Any Female,F,TH,2002-01-01 11:35:00
34,2,1,2002-01-05 12:19:00,2002-01-05 13:26:00,Eat in,Cash,ปลาราดพริก,L,1,400,160.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
34,2,1,2002-01-05 12:19:00,2002-01-05 13:26:00,Eat in,Cash,หมูสะเต็ะ,S,2,50,20.0,0,Appetizer,Any Female,F,TH,2002-01-01 11:35:00
34,2,1,2002-01-05 12:19:00,2002-01-05 13:26:00,Eat in,Cash,โค้ก,M,2,15,4.5,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
34,2,1,2002-01-05 12:19:00,2002-01-05 13:26:00,Eat in,Cash,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Female,F,TH,2002-01-01 11:35:00
35,2,2,2002-01-05 12:20:00,2002-01-05 14:20:00,Eat in,Master Card,น้ำเปล่า,M,1,10,3.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
35,2,2,2002-01-05 12:20:00,2002-01-05 14:20:00,Eat in,Master Card,ชุดอาหารเย็น,L,1,400,107.0,0,Menu Set,Any Male,M,TH,2002-01-04 19:22:00
36,3,5,2002-01-05 18:58:00,2002-01-05 21:13:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,1,100,40.0,1,Dish,Any Male,M,TH,2002-01-04 19:22:00
36,3,5,2002-01-05 18:58:00,2002-01-05 21:13:00,Eat in,Cash,ปลาราดพริก,L,2,400,160.0,0,Dish,Any Male,M,TH,2002-01-04 19:22:00
36,3,5,2002-01-05 18:58:00,2002-01-05 21:13:00,Eat in,Cash,ทอดมันปลา,S,2,30,12.0,1,Appetizer,Any Male,M,TH,2002-01-04 19:22:00
36,3,5,2002-01-05 18:58:00,2002-01-05 21:13:00,Eat in,Cash,น้ำส้มคั้น,M,2,20,6.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
36,3,5,2002-01-05 18:58:00,2002-01-05 21:13:00,Eat in,Cash,น้ำเปล่า,M,2,10,3.0,0,Beverage,Any Male,M,TH,2002-01-04 19:22:00
37,6,1,2002-01-05 20:13:00,2002-01-05 21:55:00,Eat in,Visa Card,ปลาราดพริก,L,3,400,160.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
37,6,1,2002-01-05 20:13:00,2002-01-05 21:55:00,Eat in,Visa Card,ไก่ทอด,M,1,70,28.0,0,Dish,Any Female,F,TH,2002-01-01 11:35:00
37,6,1,2002-01-05 20:13:00,2002-01-05 21:55:00,Eat in,Visa Card,หมูสะเต็ะ,S,2,50,20.0,0,Appetizer,Any Female,F,TH,2002-01-01 11:35:00
37,6,1,2002-01-05 20:13:00,2002-01-05 21:55:00,Eat in,Visa Card,ไอศครีมกะทิ,S,2,15,5.25,0,Dessert,Any Female,F,TH,2002-01-01 11:35:00
38,3,4,2002-01-06 10:43:00,2002-01-06 11:53:00,Eat in,Cash,ต้มยำกุ้ง (กลาง),M,3,100,40.0,1,Dish,Any Male,M,TH,2002-01-04 19:22:00
